year,Name,Artists,Album_x,uris,acousticness,liveness,loudness,danceability,energy,speechiness,instrumentalness,tempo,valence,Path,Emotion
2015,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2015,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2015,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2016,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
2016,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2016,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2016,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2016,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
2016,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2016,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2016,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2016,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
2016,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2016,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2016,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2016,side to side,"Ariana Grande,Nicki Minaj",Dangerous Woman,44ONERBHALxftQNWq6dmyd,0.0513,0.235,-5.84,0.65,0.736,0.229,0.0,159.174,0.612,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Ariana Grande, Nicki Minaj - Side To Side.mp3",Happy
2020,rain on me (with ariana grande),"Lady Gaga,Ariana Grande",Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.021,0.323,-3.764,0.672,0.855,0.0397,0.0,123.056,0.646,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Lady Gaga - Rain On Me (with Ariana Grande).mp3,Happy
2018,friends,"Marshmello,Anne-Marie",FRIENDS,08bNPGLD8AhKpnnERrAc6G,0.205,0.128,-2.384,0.626,0.88,0.0504,0.0,95.079,0.534,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Marshmello, Anne-Marie - FRIENDS.mp3",Happy
2018,friends,"Marshmello,Anne-Marie",FRIENDS,08bNPGLD8AhKpnnERrAc6G,0.205,0.128,-2.384,0.626,0.88,0.0504,0.0,95.079,0.534,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Marshmello, Anne-Marie - FRIENDS.mp3",Calm
2018,perfect to me,Anne-Marie,Perfect to Me,0DC7Zs2qvAbNK1owWQ4mlL,0.0889,0.0734,-5.691,0.604,0.546,0.151,0.0,179.847,0.402,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Anne-Marie - Perfect to Me.mp3,Happy
2010,mine,Taylor Swift,Speak Now (Deluxe Package),67Io3gxHwfbUreBf114c0u,0.00327,0.184,-2.934,0.621,0.78,0.0297,4.55e-06,121.038,0.672,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Taylor Swift - Mine.mp3,Happy
2010,mine,Taylor Swift,Speak Now (Deluxe Package),67Io3gxHwfbUreBf114c0u,0.00327,0.184,-2.934,0.621,0.78,0.0297,4.55e-06,121.038,0.672,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Ivey Amour - Mine.mp3,Calm
2010,mine,Ivey Amour,Mine,4xhDwG2mnp3YqgfV0JKYcD,0.699,0.107,-10.524,0.73,0.307,0.0371,0.0,122.949,0.176,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Taylor Swift - Mine.mp3,Happy
2010,mine,Ivey Amour,Mine,4xhDwG2mnp3YqgfV0JKYcD,0.699,0.107,-10.524,0.73,0.307,0.0371,0.0,122.949,0.176,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Ivey Amour - Mine.mp3,Calm
2022,mine,Taylor Swift,Speak Now (Deluxe Package),67Io3gxHwfbUreBf114c0u,0.00327,0.184,-2.934,0.621,0.78,0.0297,4.55e-06,121.038,0.672,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Taylor Swift - Mine.mp3,Happy
2022,mine,Taylor Swift,Speak Now (Deluxe Package),67Io3gxHwfbUreBf114c0u,0.00327,0.184,-2.934,0.621,0.78,0.0297,4.55e-06,121.038,0.672,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Ivey Amour - Mine.mp3,Calm
2022,mine,Ivey Amour,Mine,4xhDwG2mnp3YqgfV0JKYcD,0.699,0.107,-10.524,0.73,0.307,0.0371,0.0,122.949,0.176,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Taylor Swift - Mine.mp3,Happy
2022,mine,Ivey Amour,Mine,4xhDwG2mnp3YqgfV0JKYcD,0.699,0.107,-10.524,0.73,0.307,0.0371,0.0,122.949,0.176,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Ivey Amour - Mine.mp3,Calm
2015,play date,Melanie Martinez,Cry Baby (Deluxe Edition),4DpNNXFMMxQEKl7r0ykkWA,0.612,0.224,-5.077,0.68,0.729,0.0475,0.0,123.97,0.446,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Melanie Martinez - Play Date.mp3,Happy
2015,play date,Melanie Martinez,Cry Baby (Deluxe Edition),4DpNNXFMMxQEKl7r0ykkWA,0.612,0.224,-5.077,0.68,0.729,0.0475,0.0,123.97,0.446,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Melanie Martinez - Play Date.mp3,Calm
2017,run free,"Deep Chills,IVIE",Run Free,1oIdcFtf58sZbS7QyZQJ2P,0.202,0.414,-4.559,0.727,0.69,0.0345,3.27e-06,100.002,0.699,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Deep Chills, IVIE - Run Free.mp3",Happy
2014,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2014,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2014,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2014,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2014,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2014,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2014,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2014,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2014,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2001,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2001,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2001,try,Colbie Caillat,Gypsy Heart Side A,0dSchkfNB8SzYj8Bx7bcCW,0.804,0.108,-9.765,0.609,0.367,0.0291,0.0,140.006,0.545,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2001,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2001,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2001,try,Colbie Caillat,Gypsy Heart,6buXDkw3Gv4fQC1OZKUhnR,0.807,0.108,-9.77,0.603,0.376,0.0288,0.0,139.995,0.538,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2001,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Colbie Caillat - Try.mp3,Happy
2001,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Blue Rodeo - Try.mp3,Sad
2001,try,Blue Rodeo,Greatest Hits Vol. 1,4VeD7QbCk5VKrEcmD4AQTj,0.461,0.105,-8.636,0.565,0.424,0.0238,3.26e-06,79.668,0.193,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\SadSongs\Colbie Caillat - Try.mp3,Sad
2021,it takes a fool to remain sane,Omar Rudberg,It Takes A Fool To Remain Sane,0o8Z3dm7aYP4J795FCcLRS,0.221,0.373,-7.219,0.685,0.832,0.0499,8.61e-06,125.952,0.563,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Omar Rudberg - It Takes A Fool To Remain Sane.mp3,Happy
2017,"sit still, look pretty",Daya,"Sit Still, Look Pretty",2DpCdPMg1BADE4HDnxt3Rd,0.122,0.178,-3.031,0.655,0.787,0.264,3.11e-06,181.799,0.554,"\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Daya - Sit Still, Look Pretty.mp3",Happy
2012,we are never ever getting back together,Taylor Swift,Red,7AEAGTc8cReDqcbPoY9gwo,0.00957,0.102,-5.911,0.628,0.676,0.0916,2.65e-05,85.984,0.75,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Taylor Swift - We Are Never Ever Getting Back Together.mp3,Happy
2019,better,Ananya Birla,Better,0KCRkNV01nSKnQ0j9wSCcM,0.0248,0.0596,-5.689,0.749,0.604,0.0468,0.0,110.015,0.432,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Ananya Birla - Better.mp3,Happy
2019,better,Ananya Birla,Better,0KCRkNV01nSKnQ0j9wSCcM,0.0248,0.0596,-5.689,0.749,0.604,0.0468,0.0,110.015,0.432,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\ZAYN - Better.mp3,Calm
2019,better,ZAYN,Nobody Is Listening,5CBnWXD8M7e8Q6WubFLtXy,0.354,0.132,-7.135,0.696,0.409,0.235,0.0,84.652,0.0962,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Ananya Birla - Better.mp3,Happy
2019,better,ZAYN,Nobody Is Listening,5CBnWXD8M7e8Q6WubFLtXy,0.354,0.132,-7.135,0.696,0.409,0.235,0.0,84.652,0.0962,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\ZAYN - Better.mp3,Calm
2021,better,Ananya Birla,Better,0KCRkNV01nSKnQ0j9wSCcM,0.0248,0.0596,-5.689,0.749,0.604,0.0468,0.0,110.015,0.432,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Ananya Birla - Better.mp3,Happy
2021,better,Ananya Birla,Better,0KCRkNV01nSKnQ0j9wSCcM,0.0248,0.0596,-5.689,0.749,0.604,0.0468,0.0,110.015,0.432,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\ZAYN - Better.mp3,Calm
2021,better,ZAYN,Nobody Is Listening,5CBnWXD8M7e8Q6WubFLtXy,0.354,0.132,-7.135,0.696,0.409,0.235,0.0,84.652,0.0962,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Ananya Birla - Better.mp3,Happy
2021,better,ZAYN,Nobody Is Listening,5CBnWXD8M7e8Q6WubFLtXy,0.354,0.132,-7.135,0.696,0.409,0.235,0.0,84.652,0.0962,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\ZAYN - Better.mp3,Calm
2021,touch down 2 cause hell (bow bow bow),Hd4president,Touch Down 2 Cause Hell (Bow Bow Bow),6BcCcsHo2FtjmJra36GReV,0.000548,0.0776,-3.167,0.828,0.84,0.258,0.0,169.096,0.672,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Hd4president - Touch Down 2 Cause Hell (Bow Bow Bow).mp3,Happy
2021,shit,Bo Burnham,Inside (The Songs),2xQShwyOMYlX10w8dxbFX1,0.058,0.101,-5.215,0.939,0.687,0.126,0.0,120.022,0.936,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Bo Burnham - Shit.mp3,Happy
